Ticker,Company,Sector
JSE:OCE,Oceana Group Limited (JSE:OCE),Consumer Goods
JSE:AIP,Adcock Ingram Holdings (JSE:AIP),Health Care
JSE:CVW,Castleview Property Fund Limited (JSE:CVW),Financials
JSE:PMR,Premier Group Limited (JSE:PMR),Consumer Goods
JSE:IPF,Investec Property Fund Limited (JSE:IPF),Financials
JSE:DTC,Datatec Limited (JSE:DTC),Technology
JSE:RCL,RCL Foods Limited (JSE:RCL),Consumer Goods
JSE:AFH,Alexander Forbes Group Holdings Limited (JSE:AFH),Financials
JSE:JSE,JSE Limited (JSE:JSE),Financials
JSE:GND,Grindrod Limited (JSE:GND),Industrials
JSE:FFB,Fortress REIT Limited - B (JSE:FFB),Financials
JSE:ARL,Astral Foods Limited (JSE:ARL),Consumer Goods
JSE:COH,Curro Holdings Limited (JSE:COH),Consumer Services
JSE:AIL,African Rainbow Capital Investments (JSE:AIL),Financials
JSE:KAP,KAP Limited (JSE:KAP),Industrials
JSE:ATT,Attacq Limited (JSE:ATT),Financials
JSE:SSS,Stor-Age Property REIT (JSE:SSS),Financials
JSE:FBR,Famous Brands Limited (JSE:FBR),Consumer Services
JSE:PPC,PPC Limited (JSE:PPC),Industrials
JSE:SAC,SA Corporate Real Estate Fund Limited (JSE:SAC),Financials
JSE:TCP,Transaction Capital Ltd (JSE:TCP),Financials
JSE:HDC,Hudaco Industries Limited (JSE:HDC),Industrials
JSE:RBX,Raubex Group Limited (JSE:RBX),Industrials
JSE:MED,Middle East Diamond Resources Limited (JSE:MED),Basic Materials
JSE:CAA,CA Sales Holdings Limited (JSE:CAA),Industrials
JSE:THA,Tharisa plc (JSE:THA),Basic Materials
JSE:EMI,Emira Property Fund Limited (JSE:EMI),Financials
JSE:MPT,Mpact Limited (JSE:MPT),Industrials
JSE:NT1,Net 1 UEPS Technologies Inc (JSE:NT1),Industrials
JSE:DKR,Deutsche Konsum REIT-AG (JSE:DKR),Financials
JSE:SDO,STADIO Holdings Limited (JSE:SDO),Consumer Services
JSE:AEL,Allied Electronics Corporation (JSE:AEL),Technology
JSE:CAT,Caxton & CTP Publishers & Printers Limited (JSE:CAT),Consumer Services
JSE:CSB,Cashbuild Limited (JSE:CSB),Consumer Services
JSE:GML,Gemfields Group Limited (JSE:GML),Basic Materials
JSE:DIB,Dipula Income Fund Limited B (JSE:DIB),Financials
JSE:GSH,Grindrod Shipping Holdings (JSE:GSH),Industrials
JSE:JBL,Jubilee Metals Group Plc (JSE:JBL),Basic Materials
JSE:CLI,Clientele Limited (JSE:CLI),Financials
JSE:HET,Heriot REIT Limited (JSE:HET),Financials
JSE:BLU,Blue Label Telecoms (JSE:BLU),Telecommunications
JSE:RFG,RFG Holdings Limited (JSE:RFG),Consumer Goods
JSE:EXP,Exemplar Reitail Limited (JSE:EXP),Financials
JSE:MTA,Metair Investments Limited (JSE:MTA),Consumer Goods
JSE:MRF,Merafe Resources Limited (JSE:MRF),Basic Materials
JSE:CRP,Capital & Regional plc (JSE:CRP),Financials
JSE:MIX,Mix Telematics Limited (JSE:MIX),Industrials
JSE:SYG,Sygnia Limited (JSE:SYG),Financials
JSE:CLH,City Lodge Hotels Limited (JSE:CLH),Consumer Services
JSE:SHG,Sea Harvest Group Limited (JSE:SHG),Consumer Goods
JSE:KAL,Kaap Agri Limited (JSE:KAL),Consumer Services
JSE:ZED,Zeder Investments Limited (JSE:ZED),Financials
JSE:SBP,Sabvest Capital Limited (JSE:SBP),Financials
JSE:IVT,Invicta Holdings Limited (JSE:IVT),Industrials
JSE:ACT,Afrocentric Investment Corp (JSE:ACT),Health Care
JSE:SUR,Spur Corporation Limited (JSE:SUR),Consumer Services
JSE:ZZD,Zeda Limited (JSE:ZZD),Consumer Goods
JSE:AHB,Arrowhead Properties Limited B (JSE:AHB),Financials
JSE:BAT,Brait PLC (JSE:BAT),Financials
JSE:HIL,Homechoice International plc (JSE:HIL),Consumer Services
JSE:OCT,Octodec Investments Limited (JSE:OCT),Financials
JSE:BEL,Bell Equipment Limited (JSE:BEL),Industrials
JSE:LEW,Lewis Group Limited (JSE:LEW),Consumer Services
JSE:ACS,Acsion Limited (JSE:ACS),Financials
JSE:TDH,Tradehold Limited (JSE:TDH),Financials
JSE:LBR,Libstar Holdings Limited (JSE:LBR),Consumer Goods
JSE:SCD,Schroder European Real Estate Investment Trust (JSE:SCD),Financials
JSE:CMH,Combined Motor Holdings Limited (JSE:CMH),Consumer Services
JSE:MTNZF,MTN Zakhele Futhi (JSE:MTNZF),Financials
JSE:MDI,Master Drilling Group Limited (JSE:MDI),Industrials
JSE:SEA,Spear Reit Limited (JSE:SEA),Financials
